Country/area,Technology/source,Year,Value_TWh
Croatia,Solid Biofuels,2021,0.02478611039862478
Croatia,Wind,2020,0.001697415023592255
Croatia,Wind,2021,0.001974056817400434
Cyprus,Biogas,2020,0.00017128261059690833
Cyprus,Biogas,2021,0.0001730408716917112
Cyprus,Charcoal,2020,0.0002107328469937336
Cyprus,Charcoal,2021,0.000195675198666844
Cyprus,Electricity,2020,0.0004487868946970502
Cyprus,Electricity,2021,0.0005863821544454055
Cyprus,GrandTotal,2020,0.0053087571856342795
Cyprus,GrandTotal,2021,0.005685878618912984
Cyprus,Heat,2020,8.592035619068398e-06
Cyprus,Heat,2021,8.6070821561064e-06
Cyprus,Liquid Biofuels,2020,0.0004926520953018995
Cyprus,Liquid Biofuels,2021,0.0004856840054187376
Cyprus,Other RE,2020,0.0009376330575044519
Cyprus,Other RE,2021,0.000964653397232107
Cyprus,RenWaste,2020,0.0007042814072561842
Cyprus,RenWaste,2021,0.0007807124912499648
Cyprus,Solar PV,2020,0.0002531562159755415
Cyprus,Solar PV,2021,0.0004025447380150637
Cyprus,Solar Thermal,2020,0.0014415698240996663
Cyprus,Solar Thermal,2021,0.001466594298560527
Cyprus,Solid Biofuels,2020,0.000434186798757269
Cyprus,Solid Biofuels,2021,0.0004101322101847665
Cyprus,Wind,2020,0.0002058833981843479
Cyprus,Wind,2021,0.00021185217073603187
Denmark,Biogas,2020,0.008479626744622064
Denmark,Biogas,2021,0.010875667195161089
Denmark,Electricity,2020,0.02222985297892124
Denmark,Electricity,2021,0.022184490798727658
Denmark,Geothermal,2020,8.736863535052681e-06
Denmark,Geothermal,2021,1.0543835023410052e-05
Denmark,GrandTotal,2020,0.12109103849732722
Denmark,GrandTotal,2021,0.13120563421810563
Denmark,Heat,2020,0.015668722254822406
Denmark,Heat,2021,0.01759060212799897
Denmark,Hydropower,2020,1.7346816977839857e-05
Denmark,Hydropower,2021,1.6430546561516278e-05
Denmark,Liquid Biofuels,2020,0.004859579587449937
Denmark,Liquid Biofuels,2021,0.0050925917150652904
Denmark,Other RE,2020,0.006503865360211232
Denmark,Other RE,2021,0.007964015731518925
Denmark,Pellets,2020,0.0157423301460191
Denmark,Pellets,2021,0.020497735086754874
Denmark,RenWaste,2020,0.007003508239663718
Denmark,RenWaste,2021,0.006918843205718442
Denmark,Solar PV,2020,0.0012000980156896864
Denmark,Solar PV,2021,0.0013198980533006201
Denmark,Solar Thermal,2020,0.001092213908546167
Denmark,Solar Thermal,2021,0.0009906631164690407
Denmark,Solid Biofuels,2020,0.02168748619153332
Denmark,Solid Biofuels,2021,0.021555146563700302
Denmark,Wind,2020,0.016600869283560707
Denmark,Wind,2021,0.01618900623395445
Estonia,Biogas,2020,0.00028824734711826034
Estonia,Biogas,2021,0.00031808691195374763
Estonia,Electricity,2020,0.0034189769541322365
Estonia,Electricity,2021,0.00291672943045656
Estonia,GrandTotal,2020,0.023791182310066692
Estonia,GrandTotal,2021,0.023107258015418547
Estonia,Heat,2020,0.0029458305508829425
Estonia,Heat,2021,0.003036145198657683
Estonia,Hydropower,2020,3.03358150431422e-05
